toi,tid,coverage_status,product_count,sectors,error
174.05,425997655,available,15,TESS Sector 01;TESS Sector 02;TESS Sector 03;TESS Sector 04;TESS Sector 11;TESS Sector 29;TESS Sector 30;TESS Sector 31;TESS Sector 34;TESS Sector 64;TESS Sector 68;TESS Sector 69;TESS Sector 95;TESS Sector 96;TESS Sector 97,
1742.01,219857012,available,39,TESS Sector 15;TESS Sector 16;TESS Sector 17;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 22;TESS Sector 23;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 47;TESS Sector 48;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 52;TESS Sector 53;TESS Sector 54;TESS Sector 55;TESS Sector 56;TESS Sector 58;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 74;TESS Sector 75;TESS Sector 76;TESS Sector 77;TESS Sector 78;TESS Sector 79;TESS Sector 80;TESS Sector 81;TESS Sector 82;TESS Sector 83;TESS Sector 85;TESS Sector 86,
1743.01,219860288,available,39,TESS Sector 15;TESS Sector 16;TESS Sector 17;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 22;TESS Sector 23;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 47;TESS Sector 48;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 52;TESS Sector 53;TESS Sector 54;TESS Sector 55;TESS Sector 56;TESS Sector 58;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 74;TESS Sector 75;TESS Sector 76;TESS Sector 77;TESS Sector 78;TESS Sector 79;TESS Sector 80;TESS Sector 81;TESS Sector 82;TESS Sector 83;TESS Sector 85;TESS Sector 86,
1744.01,229455001,available,38,TESS Sector 14;TESS Sector 15;TESS Sector 16;TESS Sector 17;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 23;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 48;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 53;TESS Sector 54;TESS Sector 55;TESS Sector 56;TESS Sector 57;TESS Sector 58;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 74;TESS Sector 75;TESS Sector 76;TESS Sector 77;TESS Sector 80;TESS Sector 81;TESS Sector 82;TESS Sector 83;TESS Sector 84;TESS Sector 85;TESS Sector 86,
1749.01,233602827,available,37,TESS Sector 14;TESS Sector 15;TESS Sector 16;TESS Sector 17;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 23;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 48;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 52;TESS Sector 53;TESS Sector 54;TESS Sector 55;TESS Sector 57;TESS Sector 58;TESS Sector 59;TESS Sector 60;TESS Sector 74;TESS Sector 77;TESS Sector 78;TESS Sector 79;TESS Sector 80;TESS Sector 81;TESS Sector 82;TESS Sector 84;TESS Sector 85;TESS Sector 86,
1749.02,233602827,available,37,TESS Sector 14;TESS Sector 15;TESS Sector 16;TESS Sector 17;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 23;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 48;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 52;TESS Sector 53;TESS Sector 54;TESS Sector 55;TESS Sector 57;TESS Sector 58;TESS Sector 59;TESS Sector 60;TESS Sector 74;TESS Sector 77;TESS Sector 78;TESS Sector 79;TESS Sector 80;TESS Sector 81;TESS Sector 82;TESS Sector 84;TESS Sector 85;TESS Sector 86,
175.01,307210830,available,27,TESS Sector 02;TESS Sector 05;TESS Sector 08;TESS Sector 09;TESS Sector 10;TESS Sector 11;TESS Sector 12;TESS Sector 28;TESS Sector 29;TESS Sector 32;TESS Sector 35;TESS Sector 36;TESS Sector 37;TESS Sector 38;TESS Sector 39;TESS Sector 61;TESS Sector 62;TESS Sector 63;TESS Sector 64;TESS Sector 65;TESS Sector 69;TESS Sector 87;TESS Sector 88;TESS Sector 89;TESS Sector 90;TESS Sector 96;TESS Sector 98,
175.02,307210830,available,27,TESS Sector 02;TESS Sector 05;TESS Sector 08;TESS Sector 09;TESS Sector 10;TESS Sector 11;TESS Sector 12;TESS Sector 28;TESS Sector 29;TESS Sector 32;TESS Sector 35;TESS Sector 36;TESS Sector 37;TESS Sector 38;TESS Sector 39;TESS Sector 61;TESS Sector 62;TESS Sector 63;TESS Sector 64;TESS Sector 65;TESS Sector 69;TESS Sector 87;TESS Sector 88;TESS Sector 89;TESS Sector 90;TESS Sector 96;TESS Sector 98,
175.03,307210830,available,27,TESS Sector 02;TESS Sector 05;TESS Sector 08;TESS Sector 09;TESS Sector 10;TESS Sector 11;TESS Sector 12;TESS Sector 28;TESS Sector 29;TESS Sector 32;TESS Sector 35;TESS Sector 36;TESS Sector 37;TESS Sector 38;TESS Sector 39;TESS Sector 61;TESS Sector 62;TESS Sector 63;TESS Sector 64;TESS Sector 65;TESS Sector 69;TESS Sector 87;TESS Sector 88;TESS Sector 89;TESS Sector 90;TESS Sector 96;TESS Sector 98,
1751.01,287080092,available,38,TESS Sector 15;TESS Sector 17;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 22;TESS Sector 23;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 48;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 52;TESS Sector 53;TESS Sector 54;TESS Sector 55;TESS Sector 56;TESS Sector 57;TESS Sector 58;TESS Sector 59;TESS Sector 74;TESS Sector 75;TESS Sector 76;TESS Sector 77;TESS Sector 78;TESS Sector 79;TESS Sector 81;TESS Sector 82;TESS Sector 83;TESS Sector 84;TESS Sector 85;TESS Sector 86,
1752.01,287139872,available,42,TESS Sector 14;TESS Sector 15;TESS Sector 16;TESS Sector 17;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 22;TESS Sector 23;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 48;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 52;TESS Sector 53;TESS Sector 55;TESS Sector 56;TESS Sector 57;TESS Sector 58;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 74;TESS Sector 75;TESS Sector 76;TESS Sector 77;TESS Sector 78;TESS Sector 79;TESS Sector 80;TESS Sector 81;TESS Sector 82;TESS Sector 83;TESS Sector 84;TESS Sector 85;TESS Sector 86,
