toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
"106.01",38846515,"KP",2.8493827,2460988.0682490,"2019-05-07 17:42:35","2026-02-17 16:00:01",68.9598160,-64.0270390,10.3157000,6900.0000000,1.7700000
"1060.01",101230735,"APC",2.0685633,2460149.5362260,"2019-08-16 20:20:42","2023-10-16 16:02:02",299.2909950,-48.9344760,9.6652000,5687.9000000,1.1400000
"1061.01",253990973,"FP",0.5409330,2458654.2532490,"2019-08-16 20:20:44","2021-10-29 12:59:15",284.6889080,-41.2424830,9.7345000,5525.0000000,1.2193500
"1062.01",299799658,"CP",4.1150576,2460177.2004290,"2019-08-16 20:20:47","2023-10-16 16:02:02",38.1209680,-78.0236830,9.4780000,5394.0000000,0.8900000
"1125.01",80166433,"PC",0.7724825,2459036.4950910,"2019-08-22 14:42:10","2024-04-25 10:08:01",298.2877080,-46.3699910,8.0465000,8271.0000000,2.5027299
"1126.01",405862830,"FP",1.6268695,2460122.4321080,"2019-08-22 14:42:11","2023-08-02 16:02:01",279.0624690,-43.6206060,10.3579000,5034.0000000,0.7300000
"1127.01",269450900,"FP",2.3243900,2458657.6307300,"2019-08-22 14:42:11","2024-09-07 10:08:02",292.1952970,-36.0002600,7.3163000,8268.5000000,
"1128.01",425721385,"FP",13.5499000,2458663.1524500,"2019-08-22 14:42:11","2021-10-29 12:59:15",289.7617990,-43.0742230,9.7298000,6209.0000000,1.6300000
"1129.01",91576611,"FP",4.4365100,2458659.0692700,"2019-08-22 14:42:10","2021-10-29 12:59:15",284.1579590,-29.3983570,8.7823000,7101.9000000,2.3200000
"113.01",97409519,"KP",3.3728770,2458327.0530850,"2018-09-05 18:49:20","2021-10-29 12:59:15",332.7143370,-30.7497190,12.1893000,6050.0000000,1.0200000
"1130.01",254113311,"CP",8.3499800,2460144.1371220,"2019-08-22 14:42:11","2025-07-22 12:04:25",286.3760040,-41.4376400,10.1429000,4236.0000000,0.7400000
"1130.02",254113311,"CP",4.0686405,2460126.9242640,"2019-09-03 17:42:04","2025-07-22 12:04:25",286.3760040,-41.4376400,10.1429000,4236.0000000,0.7419210
"1131.01",198213332,"PC",0.5860366,2458711.5954350,"2019-08-27 16:09:24","2024-11-14 10:08:02",248.4335450,61.7183340,9.2872000,5579.0000000,2.3980300
"1132.01",267489265,"FP",1.5502952,2460351.8001690,"2019-08-27 16:09:23","2024-03-04 10:08:01",298.7812810,54.7814450,9.2293000,7851.0000000,1.8600000
"1133.01",69997672,"FP",1.8070900,2458684.2349000,"2019-09-03 15:31:11","2021-10-29 12:59:15",294.8240790,31.9580370,9.1145800,6244.0000000,2.2000000
"1134.01",122220263,"FP",18.6922101,2460333.4379830,"2019-09-03 15:31:11","2024-03-08 10:08:02",290.0209600,36.6377740,9.0360900,6277.0000000,1.6500000
"1135.01",154872375,"CP",8.0277326,2460658.9742600,"2019-08-27 16:09:24","2025-07-18 16:00:01",193.3963700,85.1294950,9.0285500,5962.7000000,1.1500000
"1136.01",142276270,"CP",12.5187279,2459612.4476910,"2019-08-27 12:09:00","2024-05-16 10:08:02",192.1848980,64.8552760,8.9361000,5729.0000000,0.9800000
"1136.02",142276270,"CP",6.2586065,2460366.0265140,"2019-10-17 00:30:12","2024-05-08 10:08:01",192.1848980,64.8552760,8.9361000,5729.0000000,0.9800000
"1136.03",142276270,"CP",26.3208756,2459594.1834630,"2019-11-15 23:57:09","2024-05-16 10:08:02",192.1848980,64.8552760,8.9361000,5729.0000000,0.9800000
"1136.04",142276270,"CP",18.7955470,2458697.7558070,"2020-07-16 04:56:45","2024-09-17 10:08:02",192.1848980,64.8552760,8.9361000,5729.0000000,0.9777270
"1137.01",89389197,"PC",1.3206356,2459770.2406020,"2019-09-03 15:31:11","2025-09-23 12:05:12",301.1776800,30.4099510,9.0055800,4919.6000000,6.3070302
