toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
828.01,271168962,KP,5.3220505,2460043.844612,2019-06-17 17:15:53,2023-06-15 16:02:02,210.193571,-30.583608,9.47199,6030.0,1.95757
834.01,404340025,KP,2.6755521,2458597.038666,2019-06-27 18:48:45,2024-09-09 10:08:01,195.828164,-49.639773,10.7036,6783.0,1.3441499
839.01,466840711,KP,2.4855428,2458571.553691,2019-06-17 17:15:57,2026-03-13 10:08:01,166.979879,-61.14625,14.1491,6933.0,1.59944
840.01,287563610,KP,3.7993182,2459328.560231,2019-06-17 17:15:53,2023-01-24 16:02:02,198.132842,-45.590574,13.0546,5318.0,0.97
843.01,437333618,KP,4.2986466,2458598.424853,2019-06-17 17:15:56,2024-09-09 10:08:01,207.907675,-23.78124,12.472,5715.0,1.11852
857.01,404467699,KP,3.9080236,2459137.830843,2019-07-10 19:36:45,2025-08-29 16:00:02,25.871364,-14.149185,10.2676,6143.0,1.63
966.01,178367144,KP,3.4091568,2459965.700001,2019-07-24 15:58:33,2023-08-10 16:02:02,123.392246,-1.982787,10.5572,6316.0,1.21069
1049.01,16288184,KP,2.1805333,2458626.801546,2019-07-15 19:20:04,2026-01-15 16:00:02,253.768848,-28.710584,11.0657,6599.0,1.2714601
1050.01,66818296,KP,3.7354838,2459355.54563,2019-07-15 19:20:05,2022-10-05 10:10:01,239.962248,-28.061794,11.0261,6650.0,1.57
1065.01,7088246,KP,2.1605155,2458654.345755,2019-08-16 20:20:41,2026-04-15 10:08:02,286.36675,-50.06735,13.2851,5780.0,1.2
1066.01,201604954,KP,4.606184,2458657.832537,2019-08-16 20:20:44,2021-10-29 12:59:15,285.096517,-54.893341,11.9707,5670.0,1.07
1067.01,201642601,KP,3.1316735,2458656.987874,2019-08-16 20:20:44,2024-03-14 16:54:32,288.672005,-59.57935,13.1686,4351.0,0.76701
1068.01,6663331,KP,3.180362,2458656.633231,2019-08-16 20:20:41,2021-10-29 12:59:15,284.399762,-49.138513,13.2887,5498.0,0.92
