toi,tid,split,label,disposition,stage1_score,stage2_score
3542.01,16187321,train,0,FP,0.49801939725875854,
3548.01,271167979,validation,0,FP,0.18852967023849487,0.2872619691397103
3549.01,269269740,train,0,FP,0.47870150208473206,
3557.01,271042173,validation,0,FP,0.3172846734523773,0.24122901132573393
3561.01,172754786,validation,0,FP,0.6268267631530762,0.7076150826896294
3562.01,193708920,validation,0,FP,0.12035613507032394,0.15664563133673878
3565.01,1965256662,validation,0,FP,0.7018032670021057,0.735906813671225
3566.01,169187982,validation,0,FP,0.4590439796447754,0.29164087675146205
3568.01,160390955,validation,1,CP,0.7154760956764221,0.6954508035398346
357.01,220016044,train,0,FP,0.44738420844078064,
3572.01,1976308113,validation,0,FP,0.3547205924987793,0.298303957267016
3577.01,396133015,validation,1,CP,0.5461470484733582,0.38515512662687107
3578.01,358186451,validation,0,FP,0.5020853281021118,0.4634914098188184
3580.01,305478010,validation,0,FP,0.2986643314361572,0.22220136843360097
3581.01,295413003,validation,0,FP,0.24275340139865875,0.203825473788811
360.01,13023738,train,0,FP,0.40718382596969604,
3608.01,267867517,validation,0,FP,0.47331055998802185,0.37031080102783276
3610.01,267484653,validation,0,FP,0.31202232837677,0.3435832040231547
3614.01,233831759,validation,0,FA,0.47671884298324585,0.4028077497244428
3621.01,435861696,validation,0,FP,0.4834105670452118,0.35150052576458507
3626.01,398912927,validation,0,FP,0.39655354619026184,0.5948657183046112
3627.01,1979500576,validation,0,FP,0.5333623886108398,0.47710061574637286
3629.01,455784423,validation,1,CP,0.5781151056289673,0.4625924169571952
3631.01,429414530,validation,0,FP,0.5333623886108398,0.47710061574637286
3634.01,80478272,validation,0,FP,0.5529940128326416,0.38887082844114607
3643.01,453230066,validation,0,FP,0.3960632383823395,0.3964822957609795
3658.01,71854732,validation,0,FP,0.29814431071281433,0.22284070352870508
3659.01,374778982,validation,0,FP,0.2868315577507019,0.21767943555950933
3663.01,354151219,validation,0,FP,0.2887376844882965,0.22612790121255139
367.01,9033144,train,0,FP,0.49615249037742615,
3677.01,458876004,validation,0,FP,0.4129372835159302,0.29897522112090974
3678.01,34551972,validation,0,FP,0.6776014566421509,0.4729935269652389
368.01,77031413,train,0,FP,0.3486536741256714,
3684.01,28873762,validation,0,FP,0.5433803200721741,0.39547900805162284
3688.01,245509452,validation,1,CP,0.5482965707778931,0.4376399854627488
3693.01,240823272,validation,1,CP,0.5488414764404297,0.4335341562094765
